title,author,description,image_url,amazon_url,genre,published_year,pages,publisher,rating
The Man Who Saw Seconds,Alexander Boldizar,A high-octane speculative thriller about time perception,https://m.media-amazon.com/images/I/91kRoTHx4pL._SL1500_.jpg,https://www.amazon.com/The-Man-Who-Saw-Seconds/dp/B0FHMVCC4S/,Science Fiction / Thriller,2024,416,Clash Books,4.5/5
Thinking In Systems: A Primer,Donella H. Meadows,A primer on systems thinking for problem-solving,https://m.media-amazon.com/images/I/51WRk0bDZZL._SL1500_.jpg,https://www.amazon.com/Thinking-Systems-Donella-H-Meadows/dp/1603580557/,Science / Systems,2008,218,Chelsea Green Publishing,4.2/5
